0	Date	Open	High	Low	Close	
	2023-09-04	24174.66	24278.02	23769.64	23956.22	
	2023-09-03	24072.95	24300.0	23980.47	24176.95	
	2023-09-02	24028.3	24177.51	23971.89	24073.64	
	2023-09-01	24007.09	24203.81	23592.61	24024.18	
	2023-08-31	25035.72	25411.18	23770.0	24004.09	
	2023-08-30	25552.31	25600.0	24790.27	25039.2	
	2023-08-29	24127.39	25969.92	24013.46	25555.73	
	2023-08-28	24221.95	24323.24	23966.18	24127.39	
	2023-08-27	24162.2	24299.98	24117.99	24224.95	
	2023-08-26	24207.52	24281.86	24115.0	24163.05	
	2023-08-25	24262.38	24337.71	23993.38	24208.61	
	2023-08-24	24387.22	24531.41	23952.15	24261.14	
	2023-08-23	24112.12	24750.0	23970.01	24390.77	
	2023-08-22	24089.14	24119.85	23489.25	24109.38	
	2023-08-21	24370.91	24370.91	23873.14	24085.05	
	2023-08-20	24445.89	24590.96	24259.17	24368.7	
	2023-08-19	24488.93	24708.99	24194.64	24444.82	
	2023-08-18	24730.59	25265.57	24105.0	24492.58	
	2023-08-17	26599.75	26665.23	24000.0	24733.8	
	2023-08-16	26966.06	27015.32	26598.01	26599.86	
	2023-08-15	27374.7	27378.74	26845.98	26968.59	
	2023-08-14	27031.69	27538.23	26852.12	27375.16	
	2023-08-13	27095.72	27133.32	26914.58	27036.26	
	2023-08-12	27304.44	27340.19	27066.92	27096.41	
	2023-08-11	27259.49	27363.33	27119.6	27303.8	
	2023-08-10	27511.83	27571.22	27007.4	27257.96	
	2023-08-09	27686.02	27900.0	27284.0	27503.51	
	2023-08-08	27046.09	28112.82	26869.48	27690.67	
	2023-08-07	26803.84	27132.47	26495.02	27042.42	
	2023-08-06	26791.88	26881.98	26700.5	26803.85	
	2023-08-05	26838.32	26877.03	26686.1	26791.37	
	2023-08-04	26763.73	26875.0	26550.0	26837.27	
	2023-08-03	26733.95	26985.89	26539.94	26768.52	
	2023-08-02	27072.39	27394.36	26500.0	26737.92	
	2023-08-01	26676.54	27087.42	26170.65	27066.95	
	2023-07-31	26682.81	26895.0	26575.01	26678.08	
	2023-07-30	26777.01	26870.21	26504.74	26682.94	
	2023-07-29	26715.17	26800.0	26670.0	26777.0	
	2023-07-28	26712.72	26885.45	26600.01	26715.62	
	2023-07-27	26592.36	26898.95	26503.18	26715.06	
	2023-07-26	26544.61	26872.99	26436.47	26593.06	
	2023-07-25	26482.48	26699.99	26336.3	26543.64	
	2023-07-24	27139.66	27148.38	26165.26	26482.87	
	2023-07-23	26882.2	27400.0	26823.96	27139.48	
	2023-07-22	26973.57	27059.98	26731.0	26877.08	
	2023-07-21	26849.35	27100.0	26784.9	26972.57	
	2023-07-20	26779.32	27225.2	26672.01	26849.35	
	2023-07-19	26678.62	26963.36	26657.38	26784.78	
	2023-07-18	26927.62	26999.0	26411.12	26679.17	
	2023-07-17	27058.67	27139.99	26500.0	26926.6	
	2023-07-16	27135.04	27255.22	26913.69	27061.05	
	2023-07-15	27086.26	27184.39	27023.05	27135.09	
	2023-07-14	28099.0	28216.48	26727.01	27086.27	
	2023-07-13	27362.8	28397.36	27240.31	28098.85	
	2023-07-12	27889.96	28145.24	27220.94	27368.29	
	2023-07-11	27686.43	28094.83	27630.78	27888.79	
	2023-07-10	27619.46	28270.0	27436.21	27686.11	
	2023-07-09	27722.38	27875.58	27527.86	27616.53	
	2023-07-08	27764.66	27801.14	27480.0	27724.3	
	2023-07-07	27527.36	27955.15	27372.0	27764.85	
	2023-07-06	28157.22	29000.0	27500.0	27533.75	
	2023-07-05	28364.47	28459.99	27795.31	28159.47	
	2023-07-04	28617.3	28774.62	28215.0	28364.46	
	2023-07-03	28085.11	28811.0	28061.85	28615.64	
	2023-07-02	28089.22	28242.0	27672.22	28083.88	
	2023-07-01	27930.8	28176.82	27788.74	28087.23	
	2023-06-30	28096.23	28788.87	27150.0	27931.62	
	2023-06-29	27650.19	28375.95	27640.29	28097.3	
	2023-06-28	28080.58	28100.89	27440.2	27652.9	
	2023-06-27	27804.77	28373.31	27732.69	28084.2	
	2023-06-26	28007.56	28173.48	27500.0	27805.57	
	2023-06-25	28108.28	28573.87	27844.52	28004.43	
	2023-06-24	28280.04	28362.47	27858.01	28111.41	
	2023-06-23	27342.01	28919.99	27281.34	28276.69	
	2023-06-22	27355.35	27808.07	26995.62	27342.01	
	2023-06-21	25976.08	28130.37	25939.3	27349.45	
	2023-06-20	24663.76	26069.99	24502.44	25976.25	
	2023-06-19	24164.64	24872.54	24077.77	24671.56	
	2023-06-18	24310.4	24499.38	24091.58	24164.5	
	2023-06-17	24156.9	24622.77	23999.6	24310.39	
	2023-06-16	23456.14	24306.92	23089.81	24160.0	
